timestamp,level,state,pos_x,pos_y,left,right
1695171069830,1,0,-0.464,-0.371,0.00,1.00
1695171069847,1,0,-0.209,-0.523,0.00,1.00
1695171069865,1,0,-0.228,-0.423,0.00,1.00
1695171069882,1,0,-0.169,-0.363,0.00,1.00
1695171069900,1,0,-0.202,-0.389,0.00,1.00
1695171069918,1,0,-0.177,-0.389,0.00,1.00
1695171069937,1,0,-0.204,-0.392,0.00,1.00
1695171069956,1,0,-0.187,-0.432,0.00,1.00
1695171069974,1,0,-0.206,-0.474,0.00,1.00
1695171069992,1,0,-0.203,-0.473,0.00,1.00
1695171070010,1,0,-0.204,-0.475,0.00,1.00
1695171070028,1,0,-0.204,-0.478,0.00,1.00
1695171070047,1,0,-0.205,-0.479,0.00,1.00
1695171070068,1,0,-0.205,-0.442,0.00,1.00
1695171070089,1,0,-0.198,-0.485,0.00,1.00
1695171070112,1,0,-0.192,-0.484,0.00,1.00
1695171070136,1,0,-0.169,-0.430,0.00,1.00
1695171070160,1,0,-0.164,-0.442,0.00,1.00
1695171070183,1,0,-0.317,-0.075,0.00,1.00
1695171070207,1,0,-0.547,0.004,0.00,1.00
1695171070229,1,0,-0.571,-0.061,0.00,1.00
1695171070251,1,0,-0.594,-0.012,0.00,1.00
1695171070273,1,0,-0.576,0.024,0.00,1.00
1695171070294,1,0,-0.550,0.047,0.00,1.00
1695171070315,1,0,-0.649,-0.149,0.00,1.00
1695171070336,1,0,-0.581,-0.009,0.00,1.00
1695171070357,1,0,-0.598,-0.050,0.00,1.00
1695171070378,1,0,-0.580,-0.003,0.00,1.00
1695171070399,1,0,-0.591,-0.020,0.00,1.00
1695171070420,1,0,-1.120,-0.048,0.00,1.00
1695171070441,1,0,-1.621,-0.019,0.00,1.00
1695171070462,1,0,-2.081,-0.033,0.00,1.00
1695171070483,1,0,-2.290,-0.109,0.00,1.00
1695171070503,1,0,-2.361,-0.072,1.00,1.00
1695171070524,1,0,-2.288,-0.066,0.00,1.00
1695171070545,1,0,-2.301,-0.146,0.00,1.00
1695171070565,1,0,-2.330,-0.057,0.00,1.00
1695171070586,1,0,-2.342,-0.137,0.00,1.00
1695171070607,1,0,-2.333,-0.167,0.00,1.00
1695171070627,1,0,-2.321,-0.136,0.00,1.00
1695171070648,1,0,-2.330,-0.056,0.00,1.00
1695171070670,1,0,-2.332,-0.024,0.00,1.00
1695171070691,1,0,-2.325,-0.058,0.00,1.00
1695171070711,1,0,-2.324,-0.093,0.00,1.00
1695171070732,1,0,-2.326,-0.052,0.00,1.00
1695171070752,1,0,-2.407,-0.034,0.00,1.00
1695171070773,1,0,-2.427,-0.068,0.00,1.00
1695171070794,1,0,-2.458,-0.140,0.00,1.00
1695171070815,1,0,-2.442,-0.025,0.00,1.00
1695171070838,1,0,-2.462,-0.102,0.00,1.00
1695171070858,1,0,-2.469,-0.074,0.00,1.00
1695171070879,1,0,-2.472,-0.046,0.00,1.00
1695171070899,1,0,-2.473,-0.016,0.00,1.00
1695171070920,1,0,-2.245,-0.064,0.00,1.00
1695171070940,1,0,-1.378,0.161,0.00,1.00
1695171070961,1,0,-1.142,0.192,0.00,1.00
1695171070982,1,0,-1.165,0.170,0.00,1.00
1695171071003,1,0,-1.201,0.070,0.00,1.00
1695171071024,1,0,-1.212,0.110,0.00,1.00
1695171071044,1,0,-1.207,0.119,0.00,1.00
1695171071064,1,0,-1.212,0.099,0.00,1.00
1695171071084,1,0,-1.210,0.124,0.00,1.00
1695171071104,1,0,-1.094,0.088,0.00,1.00
1695171071124,1,0,-1.119,0.086,0.00,1.00
1695171071142,1,0,-1.126,0.093,0.00,1.00
1695171071162,1,0,-1.132,0.091,0.00,1.00
1695171071181,1,0,-1.137,0.098,0.00,1.00
1695171071201,1,0,-1.133,0.101,1.00,1.00
1695171071220,1,0,-1.162,0.120,0.00,1.00
1695171071241,1,0,-1.181,0.137,0.00,1.00
1695171071261,1,0,-1.185,0.140,0.00,1.00
1695171071281,1,0,-0.765,0.097,0.00,1.00
1695171071300,1,0,-0.415,0.138,0.00,1.00
1695171071319,1,0,-0.384,0.090,0.00,1.00
1695171071339,1,0,-0.392,0.106,0.00,1.00
1695171071359,1,0,-0.399,0.089,0.00,1.00
1695171071380,1,0,-0.391,0.084,0.00,1.00
1695171071399,1,0,-0.385,0.080,0.00,1.00
1695171071419,1,0,-0.384,0.086,0.00,1.00
